time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,0,0,.fix_qua,.zone_num,.zone_letter
2022/02/16/19:11:22.925042,26598,1645056682,922829389,98,671935.73677754,4689611.57669422,5,42,T
2022/02/16/19:11:23.123332,26599,1645056683,121468782,99,671935.451383293,4689612.40782979,5,42,T
2022/02/16/19:11:23.124326,26600,1645056683,121468782,100,671935.451383293,4689612.40782979,5,42,T
2022/02/16/19:11:23.322968,26601,1645056683,320801019,101,671935.477021371,4689612.67565479,5,42,T
2022/02/16/19:11:23.324025,26602,1645056683,320801019,102,671935.477021371,4689612.67565479,5,42,T
2022/02/16/19:11:23.523700,26603,1645056683,521172523,103,671935.640688819,4689612.8442573,5,42,T
2022/02/16/19:11:23.523763,26604,1645056683,521172523,104,671935.640688819,4689612.8442573,5,42,T
2022/02/16/19:11:23.727385,26605,1645056683,725478172,105,671935.617268585,4689613.19270679,5,42,T
2022/02/16/19:11:23.727895,26606,1645056683,725478172,106,671935.617268585,4689613.19270679,5,42,T
2022/02/16/19:11:23.926641,26607,1645056683,924691677,107,671935.70489096,4689613.34682512,5,42,T
2022/02/16/19:11:23.926691,26608,1645056683,924691677,108,671935.70489096,4689613.34682512,5,42,T
2022/02/16/19:11:24.122809,26609,1645056684,119789838,109,671935.786800047,4689613.60471265,5,42,T
2022/02/16/19:11:24.122851,26610,1645056684,119789838,110,671935.786800047,4689613.60471265,5,42,T
2022/02/16/19:11:24.320920,26611,1645056684,319255828,111,671935.793192165,4689613.87707516,5,42,T
2022/02/16/19:11:24.322140,26612,1645056684,319255828,112,671935.793192165,4689613.87707516,5,42,T
2022/02/16/19:11:24.522423,26613,1645056684,520188093,113,671935.870741197,4689614.06583011,5,42,T
2022/02/16/19:11:24.522452,26614,1645056684,520188093,114,671935.870741197,4689614.06583011,5,42,T
2022/02/16/19:11:24.919736,26615,1645056684,917230606,,671935.913687008,4689614.68848533,1,42,T
2022/02/16/19:11:24.919756,26616,1645056684,917230606,,671935.913687008,4689614.68848533,1,42,T
2022/02/16/19:11:25.125406,26617,1645056685,123476266,115,671936.227618598,4689614.55665565,5,42,T
2022/02/16/19:11:25.125935,26618,1645056685,123476266,116,671936.227618598,4689614.55665565,5,42,T
2022/02/16/19:11:25.324392,26619,1645056685,321555376,117,671936.42283242,4689614.80285129,5,42,T
2022/02/16/19:11:25.324434,26620,1645056685,321555376,118,671936.42283242,4689614.80285129,5,42,T
2022/02/16/19:11:25.520278,26621,1645056685,518433570,119,671936.391663192,4689615.00712178,5,42,T
2022/02/16/19:11:25.520457,26622,1645056685,518433570,120,671936.391663192,4689615.00712178,5,42,T
2022/02/16/19:11:25.915489,26623,1645056685,914925098,,671936.758677562,4689615.46071456,1,42,T
2022/02/16/19:11:25.915496,26624,1645056685,914925098,,671936.758677562,4689615.46071456,1,42,T
2022/02/16/19:11:26.118474,26625,1645056686,116298675,,671936.83078833,4689615.70277518,1,42,T
2022/02/16/19:11:26.118520,26626,1645056686,116298675,,671936.83078833,4689615.70277518,1,42,T
2022/02/16/19:11:26.322936,26627,1645056686,320327520,,671936.943983635,4689615.91986691,1,42,T
2022/02/16/19:11:26.323068,26628,1645056686,320327520,,671936.943983635,4689615.91986691,1,42,T
2022/02/16/19:11:26.527054,26629,1645056686,524834394,,671937.094961657,4689616.11190872,1,42,T
2022/02/16/19:11:26.527090,26630,1645056686,524834394,,671937.094961657,4689616.11190872,1,42,T
2022/02/16/19:11:26.724720,26631,1645056686,722798585,121,671937.220725805,4689616.24877918,5,42,T
2022/02/16/19:11:26.724773,26632,1645056686,722798585,122,671937.220725805,4689616.24877918,5,42,T
2022/02/16/19:11:26.923248,26633,1645056686,921736955,,671937.35040083,4689616.4562556,1,42,T
2022/02/16/19:11:26.923964,26634,1645056686,921736955,,671937.35040083,4689616.4562556,1,42,T
2022/02/16/19:11:27.130483,26635,1645056687,127590894,123,671937.447392409,4689616.58759543,5,42,T
2022/02/16/19:11:27.130588,26636,1645056687,127590894,124,671937.447392409,4689616.58759543,5,42,T
2022/02/16/19:11:27.328552,26637,1645056687,326385974,125,671937.463984346,4689616.91550297,5,42,T
2022/02/16/19:11:27.328856,26638,1645056687,326385974,126,671937.463984346,4689616.91550297,5,42,T
