%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z
1.64609932044005E+018,24642,0,2.493696,-0.073,0.7077,0.1113
1.64609932046509E+018,24643,0,2.5040384,-0.0749,0.7038,0.1089
1.64609932049031E+018,24644,0,2.5216768,-0.074,0.7037,0.1102
1.64609932051474E+018,24645,0,2.4425984,-0.0749,0.7028,0.1125
1.64609932053982E+018,24646,0,2.5083136,-0.074,0.7018,0.1114
1.64609932056453E+018,24647,0,2.4712192,-0.0739,0.7087,0.1101
1.6460993205892E+018,24648,0,2.4671232,-0.0748,0.7146,0.1088
1.64609932061542E+018,24649,0,2.6215936,-0.0711,0.7046,0.1103
1.64609932063986E+018,24650,0,2.443904,-0.073,0.7057,0.1067
1.6460993206656E+018,24651,0,2.573696,-0.074,0.7057,0.1066
1.64609932068991E+018,24652,0,2.4317952,-0.0749,0.7038,0.1101
1.64609932071474E+018,24653,0,2.4824832,-0.072,0.7096,0.1102
1.64609932073963E+018,24654,0,2.4894976,-0.0749,0.7038,0.1089
1.64609932076454E+018,24655,0,2.4909312,-0.073,0.7077,0.1066
1.64609932078922E+018,24656,0,2.467328,-0.0749,0.7097,0.1077
1.64609932081421E+018,24657,0,2.4992512,-0.073,0.7106,0.1078
1.64609932083892E+018,24658,0,2.4710656,-0.0721,0.7047,0.1103
1.64609932086494E+018,24659,0,2.6018816,-0.074,0.7038,0.1125
1.64609932088995E+018,24660,0,2.500992,-0.0721,0.7027,0.1103
1.64609932091481E+018,24661,0,2.4867328,-0.0739,0.7097,0.1089
1.64609932093976E+018,24662,0,2.4943616,-0.073,0.7086,0.1078
1.64609932096454E+018,24663,0,2.477952,-0.0731,0.7018,0.1126
1.6460993209893E+018,24664,0,2.4761088,-0.073,0.7047,0.109
1.64609932101426E+018,24665,0,2.4964608,-0.073,0.7037,0.1102
1.64609932103854E+018,24666,0,2.4281344,-0.0712,0.7017,0.1103
